### Number density nb [fm-3] 	 Chemical potential mu [MeV] 	 Pressure p [MeV/fm3] 	 Energy density e [MeV]
n	mu	p	e
5.2480746e-07	939.2306388920769	5.2728344911553403e-08	0.0004928625176062164
5.7543994e-07	939.2399390575503	5.784100157063159e-08	0.0005404183331753097
6.3095734e-07	939.249247867025	6.34521428726458e-08	0.0005925627548883062
6.9183097e-07	939.2585661755054	6.961091143522859e-08	0.0006497385540065738
7.5857758e-07	939.2678948661828	7.637140605096959e-08	0.0007124311952532324
8.3176377e-07	939.2772349631838	8.379320469419431e-08	0.0007811729808234594
9.1201084e-07	939.2865875564036	9.194193776565718e-08	0.0008565476077802836
1e-06	939.2959538390908	1.0088993e-07	0.0009391950639090909
1.0964782e-06	939.3053351266368	1.1071694106890999e-07	0.0010298171061689822
1.2022644e-06	939.3147328565759	1.21510951307604e-07	0.0011291831527576641
1.3182567e-06	939.3241486167748	1.33369058579226e-07	0.0012381369833272796
1.4454398e-06	939.3335841266368	1.46398508172196e-07	0.001357603749465117
1.5848932e-06	939.3430412746889	1.60717822479588e-07	0.001488597680761094
1.7378008e-06	939.352522146766	1.76458013654792e-07	0.0016322311064550133
1.9054607e-06	939.3620289978252	1.93764145412409e-07	0.001789723665182204
2.0892961e-06	939.3715643271103	2.1279679261629501e-07	0.0019624125490069143
2.2908677e-06	939.3811308405692	2.3373400130754302e-07	0.0021517641566308264
2.5118864e-06	939.3907315166242	2.5677321655766395e-07	0.002359386029566102
2.7542287e-06	939.4003696061716	2.82133741023559e-07	0.002587041325018902
3.0199517e-06	939.4100486889549	3.10059316824993e-07	0.0028366629142184676
3.3113112e-06	939.4197726453796	3.4082117553012005e-07	0.0031103703934865683
3.6307805e-06	939.4295457316761	3.7472141844642503e-07	0.003410487754347982
3.9810717e-06	939.4393726268806	4.12097093871687e-07	0.003739563403136758
4.3651583e-06	939.4492584046454	4.5332439585314603e-07	0.004100391403358029
4.7863009e-06	939.4592086365932	4.98824163579226e-07	0.004496035631647035
5.2480746e-06	939.4692293923164	5.490675245304361e-07	0.004929855532730858
5.7543994e-06	939.4793273051458	6.045826929533419e-07	0.005405534694664181
6.3095734e-06	939.4895096210099	6.659629794146681e-07	0.005927112056504353
6.9183097e-06	939.4997842350759	7.338756135398101e-07	0.006499016594807894
7.5857758e-06	939.51015976034	8.09072069039426e-07	0.007126104361695081
8.3176377e-06	939.5206455839992	8.92400346949524e-07	0.007813699941290862
9.1201084e-06	939.5312519285244	9.848188541832158e-07	0.008567642043921667
1e-05	939.541989925886	1.0874123e-06	0.00939433248695886
1.0964782e-05	939.552871681444	1.2014106155009e-06	0.010300791004845506
1.2022644e-05	939.563910356066	1.32821073310944e-06	0.011294714198725783
1.3182567e-05	939.5751202450512	1.4694020810668498e-06	0.012384542572082376
1.4454398e-05	939.5865168598712	1.6267955181064999e-06	0.01357953067460818
1.5848932e-05	939.5981170211894	1.80245767064748e-06	0.014889824206326226
1.7378008e-05	939.6099389434191	1.9987515748292e-06	0.01632655028426342
1.9054607e-05	939.6220023367626	2.2183821252664504e-06	0.017901909600954828
2.0892961e-05	939.6343284964686	2.464450107716e-06	0.019629278929430193
