### name of eos: 1D/NS/RMF/FSU2R 
### link: https://compose.obspm.fr/eos/214 
### Number density nb [fm-3] 	 Chemical potential mu [MeV] 	 Pressure p [MeV/fm3] 	 Energy density e [MeV] 
n	mu	p	e
6.2821498e-05	0.9361791577997999	9.00664969282718e-08	5.8722110592433545e-05
6.6002598e-05	0.9362743705218001	9.620189530736582e-08	6.170033899994606e-05
6.93447e-05	0.9363711623601	1.0275499726341e-07	6.482962234524902e-05
7.2856099e-05	0.936469563081	1.097549956110073e-07	6.811776420270508e-05
7.6545402e-05	0.9365696029203	1.17232000524771e-07	7.157286475598996e-05
7.7932797e-05	0.9366063907806	1.200749959441485e-07	7.287228072566303e-05
8.1586397e-05	0.9366109178874	1.204349918861447e-07	7.629427518940968e-05
8.4002902e-05	0.9366686531475	1.25218001834378e-07	7.855766707498706e-05
8.6685402e-05	0.9367314553455	1.3058099983103638e-07	8.107036177283866e-05
8.9453497e-05	0.9367949272383	1.3617299210731932e-07	8.366340922121918e-05
9.2310001e-05	0.9368590586846999	1.42004997728349e-07	8.633945564631536e-05
9.5257798e-05	0.9369238796388001	1.4808700118263618e-07	8.910121866682648e-05
9.8299701e-05	0.9369893801472	1.5443000003744191e-07	9.195134590860767e-05
0.000101439	0.937055570445	1.610439984855e-07	9.489293601188485e-05
0.000104678	0.93712246011	1.679409971918e-07	9.792816388220279e-05
0.000108021	0.9371900494238999	1.751340044139e-07	0.0001010610723244052
0.00011147	0.9372583582935	1.82634989516e-07	0.00010429355420946044
0.000112224	0.9372730894194	1.842829967328e-07	0.00010500025219026995
0.000116024	0.9372779664915	1.848360012208e-07	0.00010856190278298901
0.000117334	0.9373018620696	1.876249977784e-07	0.00010978975168629605
0.000118925	0.9373306447671	1.910280025725e-07	0.00011128101892635488
0.000120538	0.9373595673756	1.9449300505799998e-07	0.00011279295452726208
0.00012217301	0.9373886099883	1.98020006028063e-07	0.00011432556801595862
0.00012383	0.9374177923242001	2.0161100355900003e-07	0.0001158788342199467
0.00012551001	0.9374471047116	2.05267027688634e-07	0.00011745372845913533
0.000127212	0.9374765469627	2.0899001793960002e-07	0.00011904927647427939
0.000128937	0.9375061191713999	2.1277999911210002e-07	0.0001206664464884907
0.00013068601	0.9375358312911	2.16639022098863e-07	0.00012230617800136813
0.000132459	0.9375656732745	2.205679981446e-07	0.0001239684435181224
0.000133654	0.9375856412972999	2.2322699954780002e-07	0.00012508884430240152
0.000136161	0.9375906182789999	2.2389599994750003e-07	0.00012743938017553943
0.00013800801	0.9376202205357	2.27957035251267e-07	0.0001291711437366418
0.000140194	0.9376549296378001	2.32787019919e-07	0.00013122080818572273
0.000142415	0.9376898185584001	2.3771998673150002e-07	0.00013330337552326305
0.00014467099	0.9377248875791999	2.42756980858565e-07	0.000135418830852863
0.00014696299	0.9377601463719	2.4790097787344104e-07	0.00013756813403577862
0.00014929099	0.9377955849831001	2.5315398578731603e-07	0.00013975127731396882
0.000151656	0.9378312134601	2.5851800423520006e-07	0.00014196921250426972
0.000154059	0.9378670318968	2.639960107947e-07	0.00014422286105619442
0.00015649899	0.9379030402931999	2.69589995992791e-07	0.00014651128852782231
0.000158978	0.9379392285081	2.7530299749e-07	0.00014883639967227068
0.00015933601	0.9379444153562999	2.76129034458783e-07	0.00014917219171019678
0.000165126	0.9379495022949	2.7695700555900003e-07	0.00015460289251038867
0.000169256	0.9380049659262001	2.86234999444e-07	0.00015847673351336092
0.000173878	0.93806599319823	2.967119917884e-07	0.00016281232677353344
0.000178627	0.93812757309993	3.0757100774860004e-07	0.0001672673429923726
0.00018350501	0.93818970870183	3.18828008698849e-07	0.00017184368386852756
0.00018851701	0.93825240699948	3.30497012538616e-07	0.0001765460413803064
0.00019366499	0.93831567290385	3.42593987037968e-07	0.0001813763014227294
0.000198954	0.9383795094854701	3.551320146024e-07	0.00018633922491556978
0.00020438799	0.9384439247164501	3.68129994470268e-07	0.00019143853750603625
0.000209969	0.9385089215640301	3.8160402266070005e-07	0.00019667617572921713
0.000215704	0.93857450610354	3.955710021512e-07	0.00020205870426240677
0.000216188	0.93857999880282	3.967569948328e-07	0.00020251297578635126
0.00022022599	0.93858547349208	3.97947989545817e-07	0.00020630296710986626
0.00022072101	0.93859088524017	3.99141015010308e-07	0.00020676758715199408
0.00022121699	0.9385963009884	4.00338975041783e-07	0.0002072331095547461
0.000221714	0.93860172071799	4.015399952366e-07	0.00020769960191203185
0.000222213	0.9386071444665001	4.027439965416e-07	0.00020816796539679274
0.000222712	0.93861257220576	4.0395299892079997e-07	0.00020863633018216842
0.00022321301	0.93861800393577	4.0516502813759705e-07	0.0002091065848705575
0.000223714	0.9386234406424799	4.0637999330979996e-07	0.00020957682440658196
0.000224217	0.93862888038216	4.0759899457409995e-07	0.00021004895267807267
0.00022472101	0.9386343250891499	4.08822012034925e-07	0.00021052203154266717
0.000228858	0.93863976482883	4.100479910688e-07	0.00021440517130812757
0.000230923	0.93866125189071	4.149909843464e-07	0.00021634348128601205
0.00023352999	0.93868820267433	4.21253983228461e-07	0.00021879059260042583
0.000236167	0.9387152543910601	4.276100160752e-07	0.0002212659554676983
0.000238833	0.93874240803624	4.340629995723e-07	0.00022376860253894702
0.00024152899	0.93876966364743	4.40612979553946e-07	0.00022629947572384954
0.00024425599	0.93879702116829	4.4726197955760203e-07	0.00022885953383495406
0.000247013	0.93882448163172	4.5401199361049995e-07	0.00023144783968768553
0.00024980199	0.93885204604245	4.6086298873726806e-07	0.00023406624642823836
0.00025262201	0.93887971338636	4.67816982943857e-07	0.0002367138633609423
0.00025547401	0.9389074844841361	4.748769802956741e-07	0.00023939158309987937
0.00025835799	0.938935360309521	4.82042968444653e-07	0.00024209940946104898
0.00025893899	0.938940948044052	4.83488991873373e-07	0.00024264493176429593
0.00026363999	0.938946502199004	4.84938975782016e-07	0.00024705890747449836
0.00026423199	0.938952010985232	4.8639401948016e-07	0.00024761476435764955
0.000264826	0.938957523765027	4.878530029118e-07	0.00024817251218568526
0.000265421	0.938963040745908	4.893169907184e-07	0.00024873119224710124
0.000266018	0.938968561823646	4.90784987767e-07	0.00024929175389143567
0.000266616	0.938974087096836	4.922569867320001e-07	0.00024985325821867807
0.00026721499	0.938979616468761	4.93733992110968e-07	0.00025041569483279284
0.00026781601	0.9389851500380161	4.95214995356466e-07	0.00025098004133707627
0.00026841799	0.9389906877753981	4.96700994779642e-07	0.0002515452920466103
0.00026902099	0.9389962296393096	4.981909860799339e-07	0.00025211150431775445
0.0020000001	0.9411038657454	2.1999999099999903e-06	0.0018800078256911866
0.003	0.9417450438666	3.7899998999999998e-06	0.0028214451316998
0.0040000002	0.9422908512321	5.68999988449998e-06	0.0037634735935020707
0.0049999999	0.9427764362082	7.869999842599998e-06	0.004706012086920755
0.0060000001	0.9432213878372999	1.030999937183332e-05	0.0056490184219741045
0.0070000002	0.9436352209125001	1.2999999971428561e-05	0.006592446735143116
0.0080000004	0.9440219650584001	1.590999999549996e-05	0.007536266098080486
0.0089999996	0.9443872171844999	1.900999895511112e-05	0.008480474577950502
0.0099999998	0.9447324324590999	2.2280001554399957e-05	0.009425044134090111
0.011	0.9450626481477001	2.5749999e-05	0.0103699391306247
0.012	0.9453760732016999	2.93499984e-05	0.011315162880020399
0.013	0.9456760657668	3.3100002e-05	0.0122606888529684
0.014	0.9459636332961	3.6990002e-05	0.0132065008641454
0.015	0.9462393354336	4.0980001500000005e-05	0.014152610030004
0.016000001	0.9465016049882999	4.5049998015624693e-05	0.015098976628298781
0.017000001	0.9467539122224999	4.92100014947058e-05	0.016045607453041705
0.017999999	0.9469950256377	5.3420001032222e-05	0.01699248951345135
0.018999999	0.9472256169006	5.77000006631577e-05	0.017939585773222626
0.02	0.9474447905808	6.196e-05	0.018886935811616
0.021	0.9476566883256	6.62900028e-05	0.019834500452037603
0.022	0.9478578400604999	7.06100032e-05	0.020782262478131
0.023	0.9480508203357	7.495000339999999e-05	0.0217302188643211
0.024	0.9482361888891	7.927999199999999e-05	0.0226783885413384
0.025	0.9484130505720001	8.359e-05	0.023626736264300004
0.026000001	0.948584538264	8.7930001381923e-05	0.024575268942066613
0.027000001	0.948746512008	9.22200019155555e-05	0.025523936771046956
0.028000001	0.9489026648910001	9.647999544571401e-05	0.026472795570404953
0.028999999	0.949053333075	0.0001007400022262067	0.027421805707895458
0.029999999	0.9491962770450001	0.00010493999350200009	0.028370947368651724
0.030999999	0.949333848057	0.00010908999468096779	0.029320258345752186
0.032000002	0.9494667184350001	0.0001132400038774998	0.03026969688497594
0.033	0.949592871207	0.0001173100071	0.031219254742731004
0.034000002	0.9497144360249999	0.00012133999933764661	0.03216895272494122
0.035	0.9498304034639999	0.0001253300055	0.033118734115740005
0.035999998	0.949942676877	0.00012927999601777758	0.03406865447166887
0.037	0.9500504721990001	0.00013314999449999998	0.035018717476863
0.037999999	0.9501012918180001	0.00013503000584657871	0.035968818133136134
0.039000001	0.950199125289	0.0001387500032576923	0.03691901683321243
0.039999999	0.9502943840220001	0.00014245000443874982	0.03786932440614687
0.041000001	0.9503851656029999	0.00014608000236292681	0.03881971273774523
0.041999999	0.950471916996	0.0001496499906369049	0.03977016957272318
0.043000001	0.950556206331	0.000153170002562093	0.04072074782022712
0.044	0.95063668896	0.0001566399956	0.04167137431864
0.045000002	0.950715045693	0.00016005000411333317	0.04262212895350176
0.046	0.950790491526	0.00016343000520000002	0.043572932604996
0.046999998	0.9508621315920001	0.00016672000500553142	0.04452379827809421
0.048	0.950932427949	0.00016998	0.045474776541552006
0.048999999	0.9509998143449999	0.00017319000156551013	0.04642579995033967
0.050000001	0.9510640663590001	0.0001763299985265999	0.04737687427048748
0.050999999	0.951125968056	0.0001794299916817648	0.04832799342804826
0.052000001	0.951186637785	0.0001824800103092309	0.049279226105697405
0.052999999	0.951244845456	0.0001854799943003774	0.05023049586362277
0.054000001	0.9513007028100001	0.0001884299956894443	0.05118180890735126
0.055	0.9513545441310002	0.000191339995	0.052133159932205006
0.056000002	0.9514072671029999	0.0001941799901349994	0.053084628870447535
